Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,is_main
24,2.0,9.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Paragraph 42,,,,,0.0,,original text,RCV,+,301,110,219,0.0
25,2.0,10.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Paragraph 42,,,,,0.0,,original text,RCV,+,437,29,167,0.0
26,2.0,11.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Paragraph 42,,,,,0.0,,original text,RCV,+,533,57,53,0.0
27,2.0,12.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 42,,,,,0.0,3,ECR,RCV,+,243,161,234,0.0
28,2.0,13.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 43,,,,,0.0,14,GUE/NGL,RCV,-,148,355,144,0.0
29,2.0,14.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Paragraph 44,,,,,0.0,,original text,RCV,+,351,135,152,0.0
30,2.0,15.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Paragraph 45,,,,,0.0,8,ECR,RCV,-,68,377,198,0.0
31,2.0,16.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Recital K,,,,,0.0,5,ECR,RCV,-,124,330,184,0.0
32,2.0,17.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,vote: resolution,,,,,1.0,,0,RCV,+,502,112,22,1.0
33,2.0,1.0,2014-07-17 00:00:00,,Situation in Iraq,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0059/2014 ,2014/2716/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0059&language=EN,0,Foreign & security policy,After paragraph 1,,,,,0.0,2,GUE/NGL,RCV,-,144,451,30,0.0
